iter	Logloss
0	0.682301569
5	0.6454154115
10	0.6250566687
15	0.6130020005
20	0.6052356763
25	0.5995214668
30	0.5950583898
35	0.5913910827
40	0.5883246471
45	0.585911492
50	0.5836007827
55	0.581680266
60	0.580022298
65	0.5784130726
70	0.5769573002
75	0.5757381955
80	0.5744969481
85	0.5733344223
90	0.5722619408
95	0.5712905752
100	0.5703595768
105	0.5694200232
110	0.568567243
115	0.5677839463
120	0.5670302329
125	0.5662612067
130	0.5655593633
135	0.5648448669
140	0.5642198399
145	0.5634514966
150	0.5627963109
155	0.5621920965
160	0.5615371625
165	0.5609585416
170	0.5602562668
175	0.5596363441
180	0.5590709513
185	0.5585898516
190	0.5579868234
195	0.5574302373
200	0.5568191573
205	0.5561864737
210	0.5554963846
215	0.554944148
220	0.554380876
225	0.5537928013
230	0.5531329786
235	0.552596055
240	0.5520439981
245	0.5515344651
250	0.5509820847
255	0.5504283384
260	0.5499302003
265	0.5493927374
270	0.5488524348
275	0.5483513132
280	0.5478720108
285	0.5473878557
290	0.546926634
295	0.546433133
300	0.5459784175
305	0.5455367504
310	0.5449920624
315	0.5445602445
320	0.5440728543
325	0.5436608785
330	0.5432159762
335	0.5427395135
340	0.54229817
345	0.541827854
350	0.5414390633
355	0.5410130327
360	0.5406179515
365	0.5401837611
370	0.5397588808
375	0.5393922327
380	0.5390089058
385	0.5385922571
390	0.5381772978
395	0.5377781906
400	0.5373581629
405	0.5369678625
410	0.5365772745
415	0.536200993
420	0.5357961345
425	0.5354830099
430	0.535136887
435	0.5347637687
440	0.534390902
445	0.5339660935
450	0.5335734566
455	0.5332280526
460	0.5327872482
465	0.5324248778
470	0.5320691932
475	0.5316573253
480	0.5312533295
485	0.5308513107
490	0.5304619449
495	0.530133723
500	0.5297442853
505	0.5293901824
510	0.5289876604
515	0.5286596901
520	0.5282721216
525	0.5279960931
530	0.5275579847
535	0.5271948234
540	0.5268276362
545	0.5264386658
550	0.526124966
555	0.5257573115
560	0.5254116918
565	0.5250632324
570	0.5247241189
575	0.5244200527
580	0.5240354677
585	0.5237274474
590	0.5234123098
595	0.5230608309
600	0.5226996107
605	0.5224109653
610	0.5220934912
615	0.5217325945
620	0.5214637912
625	0.5211342393
630	0.5207832278
635	0.5204903407
640	0.5201594229
645	0.5198171462
650	0.5195346834
655	0.5191570719
660	0.5188275559
665	0.5185216205
670	0.5181653249
675	0.5178068725
680	0.5174569753
685	0.5170917292
690	0.5167772027
695	0.5164623167
700	0.5161382646
705	0.5158179148
710	0.5154268955
715	0.5151040655
720	0.5147526585
725	0.5144663495
730	0.5141262655
735	0.5138109482
740	0.5134783769
745	0.5131334402
750	0.5127706743
755	0.5123938536
760	0.512054848
765	0.5117169566
770	0.5113589716
775	0.5110062705
780	0.5107385456
785	0.5104185194
790	0.5101284361
795	0.5098831414
800	0.5095810881
805	0.509314801
810	0.5089719851
815	0.5086440148
820	0.5083510559
825	0.5080704982
830	0.5077019091
835	0.5074353344
840	0.5071110666
845	0.5068223493
850	0.5064616682
855	0.506151635
860	0.5058717603
865	0.5055698508
870	0.5052483508
875	0.5049871321
880	0.5046707364
885	0.5043623567
890	0.5040222726
895	0.5037114126
900	0.5033841253
905	0.5030442211
910	0.5027533829
915	0.502444464
920	0.5021835687
925	0.5018969722
930	0.5016837412
935	0.5013801063
940	0.5010616617
945	0.5007998319
950	0.5005294829
955	0.5002526996
960	0.5000281816
965	0.4997133316
970	0.4993931256
975	0.4990750405
980	0.4988461011
985	0.4985143566
990	0.4982054017
995	0.4979322489
1000	0.4976558251
1005	0.4973491348
1010	0.4970471893
1015	0.4967570701
1020	0.4965078213
1025	0.4962248913
1030	0.4959077407
1035	0.4956266439
1040	0.4954028448
1045	0.4950889294
1050	0.4948039504
1055	0.4944710556
1060	0.4941947036
1065	0.4938986533
1070	0.4936260038
1075	0.4933211467
1080	0.4930112213
1085	0.4926851202
1090	0.4923701983
1095	0.492065557
1100	0.4918137201
1105	0.4915157646
1110	0.491216587
1115	0.4909340164
1120	0.4906116897
1125	0.4903496801
1130	0.4900914449
1135	0.4897744022
1140	0.4894989129
1145	0.4892455663
1150	0.4889746422
1155	0.4887427912
1160	0.4884475317
1165	0.4881555433
1170	0.4879037424
1175	0.4876074045
1180	0.4873213112
1185	0.4870294306
1190	0.4867299295
1195	0.4864252522
1200	0.4861788431
