iter	Logloss
0	0.6851171556
5	0.6499103826
10	0.6212780339
15	0.5985613888
20	0.5795873318
25	0.5639108813
30	0.5512184097
35	0.540530588
40	0.5318425399
45	0.5244928755
50	0.5184553139
55	0.5132831283
60	0.5088255618
65	0.505052073
70	0.5017464076
75	0.498741486
80	0.4961305237
85	0.4939066938
90	0.4918898786
95	0.4901775543
100	0.488633131
105	0.4871436311
110	0.4858142814
115	0.484566598
120	0.4833925735
125	0.4822852783
130	0.481321451
135	0.4804220945
140	0.4795732981
145	0.4787505263
150	0.4779868868
155	0.4771733543
160	0.4764273211
165	0.4757398043
170	0.4751214293
175	0.4744503895
180	0.4738516226
185	0.473259426
190	0.4727157878
195	0.4721369884
200	0.4716135743
205	0.4710688068
210	0.4705294803
215	0.4699985207
220	0.4695203285
225	0.4690251459
230	0.4685040417
235	0.4679196986
240	0.4674445862
245	0.4669698331
250	0.4664808103
255	0.466053281
260	0.4655868947
265	0.4651888289
270	0.4648234092
275	0.4643720627
280	0.4639711224
285	0.4635788057
290	0.4631952664
295	0.4627625014
300	0.4623875342
305	0.4619240738
310	0.4615701007
315	0.4612128938
320	0.4608678008
325	0.4604960161
330	0.4601393738
335	0.4597403328
340	0.4593805594
345	0.4590673425
350	0.4587108542
355	0.4583596529
360	0.4580365292
365	0.4577689962
370	0.4574391996
375	0.4571162813
380	0.4567970074
385	0.4565081723
390	0.4562042462
395	0.4558733717
400	0.4555579475
405	0.4552218373
410	0.4549179112
415	0.4545681985
420	0.4542406604
425	0.4538685164
430	0.4536004701
435	0.4533216444
440	0.4530038078
445	0.4526888456
450	0.4523888719
455	0.4520952118
460	0.4518200305
465	0.4515427961
470	0.4512355335
475	0.4509773425
480	0.4506971823
485	0.4504293412
490	0.4501575991
495	0.4498564961
500	0.449595944
505	0.4493091621
510	0.4490541023
515	0.4488139796
520	0.4485862788
525	0.448365405
530	0.4480850907
535	0.4478353692
540	0.4475900622
545	0.4473549698
550	0.4470661861
555	0.4468048127
560	0.4464993466
565	0.4462585053
570	0.4460019056
575	0.4457447926
580	0.4454717672
585	0.4452532032
590	0.444998554
595	0.4447234754
600	0.4444576876
605	0.4441849702
610	0.443942897
615	0.4437157095
620	0.4434864175
625	0.4432566635
630	0.4430155141
635	0.4427652281
640	0.442552259
645	0.4422875491
650	0.4420317707
655	0.4417559735
660	0.4414602089
665	0.4412057137
670	0.4409426977
675	0.4406895371
680	0.4404410476
685	0.4401617086
690	0.4399139377
695	0.4396653969
700	0.4394264034
705	0.4391497336
710	0.4389097649
715	0.438633711
720	0.4384092954
725	0.4381560835
730	0.4379109817
735	0.4376119833
740	0.4373183745
745	0.4370438092
750	0.4367603638
755	0.4364876977
760	0.4362473697
765	0.435991386
770	0.4357570122
775	0.4355141177
780	0.4352428376
785	0.4349961959
790	0.4347405715
795	0.434501578
800	0.4342434384
805	0.434036937
810	0.4338285877
815	0.4335675736
820	0.4333387435
825	0.4330838377
830	0.4328066033
835	0.4325666859
840	0.4323561294
845	0.4321315597
850	0.4318500135
855	0.4316155885
860	0.431356217
865	0.431131288
870	0.4309008154
875	0.4306757837
880	0.4304863496
885	0.430206138
890	0.4299526951
895	0.4297644159
900	0.4295527045
905	0.429336168
910	0.4291139852
915	0.428854665
920	0.428618931
925	0.4284149448
930	0.428197972
935	0.4279465053
940	0.4276969892
945	0.4274542999
950	0.4272335031
955	0.4269735926
960	0.426764576
965	0.4265320758
970	0.4262682899
975	0.4260072501
980	0.4257822698
985	0.4255194078
990	0.4252739211
995	0.425056897
1000	0.4248184425
1005	0.4245849414
1010	0.4243453063
1015	0.4241271786
1020	0.4238931642
1025	0.4236624606
1030	0.4234461807
1035	0.4232395767
1040	0.4229903942
1045	0.4227263259
1050	0.4224877175
1055	0.422282448
1060	0.4220948104
1065	0.4218595897
1070	0.421651574
1075	0.4214093468
1080	0.4211864454
1085	0.4209373912
1090	0.420733328
1095	0.4205266212
1100	0.4202774131
1105	0.4200157317
1110	0.419775224
1115	0.419545316
1120	0.4192949529
1125	0.4190970236
1130	0.4188906505
1135	0.4186755513
1140	0.4184626079
1145	0.4182616502
1150	0.4180662618
1155	0.4178860157
1160	0.4176558767
1165	0.4174200914
1170	0.4171996025
1175	0.4169929215
1180	0.4167606779
1185	0.4165547668
1190	0.416322395
1195	0.4161337051
1200	0.4159286153
1205	0.4157499862
1210	0.415534117
1215	0.4153543586
1220	0.4151284287
1225	0.4149105063
1230	0.4146775185
1235	0.4144915491
1240	0.4142744737
1245	0.4140425895
1250	0.4138017738
1255	0.4136002258
1260	0.4134091234
1265	0.4131509325
1270	0.4129153525
1275	0.4126736899
1280	0.4124808679
1285	0.4122060717
1290	0.412020513
1295	0.411817117
1300	0.4115951139
1305	0.4114059878
1310	0.4111897593
1315	0.410986543
1320	0.4107840966
1325	0.4105666105
1330	0.4103412196
1335	0.4101297392
1340	0.4099411776
1345	0.4097525135
1350	0.4095386462
1355	0.4093435657
1360	0.4091526687
1365	0.4089350029
1370	0.4087310167
1375	0.4085326254
1380	0.4083124188
1385	0.4081072263
1390	0.4079124025
1395	0.4076808263
1400	0.4075009653
1405	0.407297749
1410	0.4070716394
1415	0.4068998885
1420	0.4066946704
1425	0.406503491
1430	0.4062962966
1435	0.406131424
1440	0.4059662691
1445	0.4057486547
1450	0.4055866309
1455	0.4053918584
1460	0.4051806089
1465	0.4049104067
1470	0.4047443535
1475	0.4045153438
1480	0.4042751954
1485	0.4040783954
1490	0.403876873
1495	0.4036620048
1500	0.4034734432
1505	0.403280647
1510	0.403104533
1515	0.4029183327
1520	0.4027687052
1525	0.4025434682
1530	0.4023403033
1535	0.4021439909
1540	0.4019618713
1545	0.4017892478
1550	0.4015654225
1555	0.4013886669
1560	0.4012008753
1565	0.4010078994
1570	0.4008149235
1575	0.4006152233
1580	0.4004051031
1585	0.4002007319
1590	0.4000218718
1595	0.3998319244
1600	0.3996423876
1605	0.3994297265
1610	0.3992214799
1615	0.3990050461
1620	0.3988474623
1625	0.3986486604
1630	0.3984647443
1635	0.3982899136
1640	0.3981302254
1645	0.3979548814
1650	0.3977893158
1655	0.3976080688
1660	0.3974161452
1665	0.3972410322
1670	0.3970304243
1675	0.396860778
1680	0.3966807116
1685	0.3964978734
1690	0.3963047435
1695	0.3961422064
1700	0.3959491792
1705	0.3957968568
1710	0.3956096042
1715	0.3954169363
1720	0.3952519867
1725	0.3950414558
1730	0.3948387785
1735	0.394682478
1740	0.394518632
1745	0.3943316104
1750	0.3941321155
1755	0.3939442213
1760	0.3937500135
1765	0.3935625299
1770	0.3933689637
1775	0.3931420585
1780	0.3929419477
1785	0.3927518719
1790	0.3925642857
1795	0.3923263189
1800	0.3921455082
1805	0.3919190393
1810	0.3917370224
1815	0.3915691726
1820	0.3914416941
1825	0.3912284941
1830	0.391042576
1835	0.3908564271
1840	0.3906728189
1845	0.3904787907
1850	0.3902981341
1855	0.3901211218
1860	0.389944007
1865	0.3897615281
1870	0.3895722993
1875	0.3893821722
1880	0.3891732069
1885	0.3889519224
1890	0.388793851
1895	0.3886277721
1900	0.388482636
1905	0.3883318022
1910	0.3881207837
1915	0.3879478265
1920	0.3877657326
1925	0.3875912099
1930	0.3874052663
1935	0.3872329764
1940	0.3870577608
1945	0.3868579579
1950	0.3866698327
1955	0.3864958233
1960	0.3863462728
1965	0.3861636399
1970	0.3859885012
1975	0.3858376674
1980	0.3856226708
1985	0.3854628542
1990	0.3852943628
1995	0.3851022082
2000	0.3849441112
2005	0.3847708974
2010	0.3845928842
2015	0.3844420247
2020	0.3842348304
2025	0.3840559959
2030	0.383890071
2035	0.3837112622
